Event ID,Event name,Event type,Case ID,Event date,Event description,Event author,Court/body
7656,Case opened,Filing,7119,08/06/2009,"Flachglas Torgau requested information about Germany's allocation of emissions licenses during 2005-2007, denied on the grounds of confidentiality. Flachglas challenged this decision.",,
7655,Action dismissed,Interim decision,7120,23/09/2008,The court dismissed the action as inadmissible.,,
7654,Case opened,Filing,7120,25/08/2007,Applicants in the above actions challenged the Commission of the European Communities' decision rejecting the Polish Phase II national allocation plan (NAP) .,,
9440,Filing,Filing,7121,01/01/2013,,,
7653,Case decided,Settlement,7121,26/11/2014,The Court held that the Italian law was precluded since guarantees of origin fall within an area largely covered by EU law.,,
7652,Case referred,Other,7121,08/02/2013,Italy referred the case to the European Court of Justice.,,
7651,Application dismissed,Settlement,7122,23/09/2008,The Court dismissed all actions as inadmissible.,,
7650,Case opened,Filing,7122,21/07/2007,Applicants challenged the Commission of the European Communities' decision rejecting the Polish Phase II national allocation plan (NAP),,
7649,Case decided,Settlement,7123,17/10/2013,The European Court of Justice rejected the electricity producers arguments,,
7648,Case referred,Other,7123,18/11/2011,The case was referred to the European Court of Justice.,,
7647,Case opened,Filing,7123,01/01/2009,Electricity producers challenged Spain's amendment to its system for purchasing wholesale electricity.,,
7646,Claim dismissed,Settlement,7124,07/11/2008,The Court dismissed all actions as inadmissible because the Commission's decision did not directly and individually affect the Applicants.,,
7645,Case opened,Filing,7124,21/07/2007,Lafarge Cement challenged the Commission's decision to reject the Polish Phase II national allocation plan (NAP) for the allocation of GHG emission.,,
7644,Case decided,Settlement,7125,22/05/2014,"The Advocate General answered that ‘dual use' within the meaning of Article 2(4)(b) refers to where coal is used as heating fuel in a lime-kiln in order to generate carbon dioxide for the production of lime-kiln gas, which is subsequently used for the purification of the raw juice obtained from sugar beets, that process giving rise to the by-product earth foam",,
7643,Case opened,Filing,7125,01/01/2012,"Advocate General Sharpston was asked for guidance as to the meaning of the term ‘dual use' in the second indent of Article 2(4)(b) in relation to sugar production and lime fertilizer, the by-product arising from that process, of the Directive 2003/96/EC.",,
7642,Case decided,Settlement,7126,23/11/2005,The court found that the Commission made an error of law in rejecting the amendments proposed by the UK as inadmissible.,,
7641,Case opened,Filing,7126,12/04/2005,The UK challenged the European COmmission's decision to reject its amendments to its NAP.,,
7640,Case decided,Settlement,7127,23/09/2009,The Court held that the Commission did not properly examine the NAP and infringed on the principle of sound administration.,,
7639,Case opened,Filing,7127,04/05/2007,Estonia challenged the European Commission's decision that its National Allocation Plan was inconsistent with Directive 2003/87.,,
7638,Case decided,Settlement,7128,23/09/2009,The Court held that this decision exceeded the commission's authority.,,
7637,Case opened,Filing,7128,28/05/2007,Poland challenged the European Commission's decision that its National Allocation Plan was inconsistent with Directive 2003/87.,,
7636,Case decided,Settlement,7129,07/03/2013,The General Court rejected all 4 grounds and the action was dismissed,,
7635,Case opened,Filing,7129,08/07/2011,Poland challenged the adoption of Directive 2003/87/EC on 4 grounds.,,
7634,Case decided,Settlement,7130,26/02/2015,The Court concluded that the gift tax was inconsistent with Article 10.,,
7633,Case opened,Filing,7130,27/01/2014,the Czech Republic requested a preliminary ruling from the European Court of Justice on the question of whether Article 10 of Directive 2003/87 precludes application of the Czech gift tax to emissions allowances obtained free of charge.,,
7632,Case decided,Settlement,7131,16/12/2008,"The Court found that the differences were justified, dismissed the claim.",,
7631,Case opened,Filing,7131,05/03/2007,Arcelor challenged the adoption of Directive 2003/87 under the principle of equality.,,
9395,Filing,Filing,7132,01/01/2012,,,
7630,Appeal denied,Settlement,7132,26/09/2013,The Court of Justice found Walloon's interpretation of biomass (excluded because of negative imapcts) was permissible under the Directive given its purpose.,,
7629,Case referred,Other,7132,26/04/2012,The Constitutional Court of Belgium referred these issues to the EU Court of Justice.,,
9396,Filing,Filing,7133,01/01/2007,,,
7628,Case decided,Settlement,7133,08/02/2007,The European Court of Justice held that the directive did not violate the principle of equality,,
9397,Filing,Filing,7134,01/01/2010,,,
7627,Case decided,Settlement,7134,28/12/2010,"The French Constitutional Council upheld the validity of article 64 regarding the purchase of GHG emissions quotas for 2011, whereas quotas were distributed free of charge in 2010. The quota purchase will only apply for 2011 and 2012. This had been challenged by some companies that hadn't received their quotas even though they carried out activities in 2010.",,
9398,Filing,Filing,7135,01/01/2009,,,
7626,Case decided,Settlement,7135,01/01/2009,French Constitutional Council annulled a tax on carbon emissions (set at 17 Euro/CO2et) on the grounds that the proposed tax contained too many exemptions and would not have applied to 93% of industrial emissions.,,
7625,Case decided,Settlement,7136,01/01/2003,"The Administrative court granted the application, rejecting the argument that information on German export credit activities did not constitute “environmental information”ù.",,
7624,Case opened,Filing,7136,01/01/2005,BUND and Germanwatch brought suit against the government arguing that citizens have a right to the free access of environmental information under the German Access to Environmental Information Act (UIG).,,
9403,Filing,Filing,7137,01/01/2015,,,
7623,Claim unsuccessful,Decision,7137,18/11/2015,"The Court dimissed the suit arguing the Ministry is responsible to “inform and educate the public about environmental issues”ù, this includes presenting all points of view.",,
9404,Filing,Filing,7139,01/01/2013,,,
7622,Case decided,Settlement,7139,09/05/2016,The NGT in its own motion concluded that the government of Himachal Pradesh had violated its obligations by failing to restrict development and road and pedestrian traffic in and around the increasingly touristed area accessible via the Rohatang Pass (it should Halt and reverse receding of glaciers near Rohatang Pass).,,
7621,Appeal successful,Settlement,7140,09/10/2015,The High Court granted the appeal and overturned the permission.,,
7620,Case opened,Filing,7140,22/01/2014,An Taisce and Friends of the Irish Environment challenged the approval of Edenderry Power Ltd.'s application to extend operation of its peat- and biomass-burning power plant from 2015 to 2023.,,
9412,Filing,Filing,7141,01/01/2005,,,
7619,Decision,Decision,7141,07/09/2005,"The Environment Court of NZ upheld the decision, granting the permit for the project.",,
9413,Filing,Filing,7142,01/01/2008,,,
7618,Case decided,Settlement,7142,19/12/2008,"The Supreme Court of NZ agreed that GHG emissions should be considered, overturning the decision of the court of Appeals.",,
7617,Appeal denied,Settlement,7143,20/07/2015,The Supreme Court denied the Appeal.,,
7616,Case on Appeal,Filing party appeal,7143,01/01/2014,Mr. Teitiota appealed the decision of the Court of Appeal.,,
7615,Appeal unsuccessful,Settlement,7143,26/11/2013,The High Court refused the leave to appeal from that decision.,,
7614,Case opened,Filing,7143,30/01/2013,A Kiribati citizen appealed the denial of refugee status in the New Zealand High Court (Decision of the High Court 25/06/2013),,
9441,Filing,Filing,7144,01/01/2009,,,
7613,Case on Appeal,Responding party appeal,7144,01/01/2009,Meridian appealed this decision.,,
7612,Appeal successful,Settlement,7144,16/08/2010,The High Court of New Zealand allowed the appeal and remanded the case back to the Environment Court.,,
9442,Filing,Filing,7145,01/01/2002,,,
7611,Case decided,Settlement,7145,21/05/2002,"The Environment Court dismissed the appeal, questioning the efficacy of imposing mitigation measures.",,
7610,Appeal successful,Settlement,7146,12/10/2006,"The court held, under the Resource Management Act 1991, that a consent authority can consider the effects of such discharge on climate change.",,
7609,Case opened,Filing,7146,01/01/2006,Greenpeace challenged a regional council's decision to consent to a proposed coal-fired power station.,,
9414,filing,Filing,7147,01/01/2011,,,
7608,Judicial review denied,Settlement,7147,01/12/2011,The court dismissed the IMVIA's application for review.,,
7607,Appeal successful,Settlement,7148,04/06/2014,"The appeal was granted based on other reasons, the Tribunal explicitly declined to reach the question of whether climate change provided a basis for granting resident visas.",,
7606,Case opened,Filing,7148,01/01/2014,A family from Tuvalu appealed after they were denied New Zealand resident visas on the grounds that if deported to Tuvalu they would face adverse impacts of climate change.,,
9415,Filing,Filing,7149,01/01/2007,,,
7605,Application dismissed,Settlement,7149,14/05/2007,The Court upheld the decision.,,
9416,Filing,Filing,7150,01/01/2008,,,
7604,Appeal unsuccessful,Settlement,7150,26/09/2008,The court agreed with the City Council and held that the turbines would have significant adverse landscape impacts. It declined the appeal for all but 4 turbines.,,
9443,Filing,Filing,7151,01/01/2012,,,
7603,Claim unsuccessful,Settlement,7151,07/09/2012,"The High Court held that the research institute had used credible scientific methods to carry out its work and there was no basis for judicial review. It ordered the Trust to bare the costs of the judicial action. The trust appealed this decision, and the appeal was dismissed.",,
9417,Filing,Filing,7153,01/01/2007,,,
7602,Case decided,Settlement,7153,13/04/2007,,,
9418,Filing,Filing,7154,01/01/2012,,,
7601,Appeal unsuccessful,Settlement,7154,24/08/2012,,,
7600,Claim unsuccessful,Settlement,7155,02/11/2017,"The Court found that the Minister had not done any reviewable error, hence the claim was dismissed.",,
7599,Case opened,Filing,7155,10/11/2015,"Sarah Thomson, a New Zealand law student, filed a Statement of Claim against New Zealand's Minister of Climate Change Issues alleging that he had failed in several respects regarding the setting of GHG emissions reduction targets required by New Zealand's Climate Change Response Act of 2002.",,
9444,Filing,Filing,7156,01/01/2007,,,
7598,Appeal unsuccessful,Settlement,7156,11/12/2007,The High Court found no error as a matter of law and dismissed the appeal.,,
7597,Appeal filed,Filing party appeal,7156,13/04/2007,Unison Networks Limited  appealed this decision.,,
7596,Appeal successful,Settlement,7157,19/08/2013,"The Supreme Court overturned the previous decisions, concluding that the lower courts had wrongly construed the Act. It held instead that such considerations for cliamte change were not just permissible but obligatory.",,
7595,Appeal unsuccessful,Settlement,7157,24/08/2012,The High Court upheld the decision by the Environment Court.,,
7594,Consent granted,Settlement,7157,30/04/2012,"The Environment Court granted consent, on the grounds that under the Resource Management Act it wasn't necessary to have regard for the effects on climate change.",,
7593,Case opened,Filing,7157,26/08/2011,"Buller Coal Ltd. and Solid Energy Ltd. applied for consent to operate a coal mine for export purposes, they sought consent from the Environment Court that the end use of the coal was irrelevant to the resource consents.",,
7592,Claim successful,Settlement,7158,30/11/2005,The court held that the practice of gas flaring is unconstitutional as it violates the guaranteed fundamental rights of life and dignity.,,
7591,Case opened,Filing,7158,01/01/2004,"Jonah Gbemre, a representative of the Iwherekan community in the Niger Delta filed suit against the Nigerian government and Shell to stop stop flaring gas in the Niger Delta.",,
9420,Filing,Filing,7160,01/01/2016,,,
7590,Judgement pending,Filing,7160,01/04/2016,"Rabab Ali, a 7-year-old girl challenged to various actions and inactions on the part of Pakistan's federal government and on the part of the Province of Sindh regarding climate change. Judgement is pending.",,
9421,Filing,Filing,7161,01/01/2015,,,
7589,Supplemental decision,Settlement,7161,14/09/2015,The court issued supplemental decision naming 21 individuals to the Climate Change Commission and vesting it with various powers.,,
7588,Case decided,Settlement,7161,04/09/2015,"The court determined that ""the delay and lethargy of the State in implementing the Framework offend the fundamental rights of the citizens, and created a Climate Change Commission.",,
7587,Petition filed by Greenpeace Asia and Others,Filing,7162,12/05/2015,,,
7586,Case decided,Settlement,7163,30/09/2008,The Court found that the government was justified in applying the maximum penalty of 55% over the total 2000-2002 historical emissions for that category of emitter.,,
7585,Case opened,Filing,7163,01/01/2005,UniÃ_n Fenosa GeneraciÃ_n brought suit against a decision of the Council of Ministers whereby it approved the assignment of emissions allowances to two of the company's power plants.,,
9424,Filing,Filing,7164,01/01/2008,,,
7584,Case decided,Settlement,7164,06/10/2008,"The court ruled in Faraneto's favor and changed the assignment to a total of 174,508 tons for the 2005-2007 period.",,
7583,Case decided,Settlement,7165,18/11/2018,The court found in Minera Catalana's favor,,
7582,Case opened,Filing,7165,01/01/2006,Minera Catalana Aragonesa brought suit against the General Government Administration of Spain challenging the decision approving the individual assignment of emissions credits to its ceramics facility,,
7581,Case decided,Settlement,7166,03/12/2008,The court denied Cerámica's petition.,,
7580,Case opened,Filing,7166,01/01/2005,Cerámica Hermanos Fernández brought suit against the General Government Administration of Spain challenging the decision approving an individual assignment of emissions credits to its facility.,,
7579,Case decided,Settlement,7167,29/05/2009,The Court dismissed the petition.,,
7578,Case opened,Filing,7167,01/01/2005,Cerámica Dolores GarcÃ_a Bazataqui brought suit challenging the decision of the Council of Ministers of Spain that declared the individual assignment of emissions allowances for the 2005-2007 term.,,
9425,Filing,Filing,7168,01/01/2009,,,
7577,Case decided,Settlement,7168,15/07/2009,The Court found in favor of plaintiffs.,,
9426,Filing,Filing,7169,01/01/2009,,,
7576,Case decided,Settlement,7169,17/07/2009,The Court rejected Arcelor's arguments and dismissed its request for remedy,,
9427,filing,Filing,7170,01/01/2008,,,
7575,Case decided,Settlement,7170,01/10/2008,The Ministry of the Environment was ordered to conduct a new assignment of credits.,,
9428,Filing,Filing,7171,01/01/2008,,,
7574,Case decided,Settlement,7171,19/11/2008,The Ministry of the Environment was ordered to conduct a new assignment of credits.,,
9429,Filing,Filing,7172,01/01/2008,,,
7573,Case decided,Settlement,7172,02/12/2008,The court ruled in favor of Cales de Llierca and ordered the Council to conduct a new assignment of credits.,,
9430,Filing,Filing,7173,01/01/2008,,,
7572,Case decided,Settlement,7173,03/12/2008,The Court annulled the individual assignment of emissions credits and ordered that a new calculation take place in harmony with its findings.,,
7571,Case decided,Settlement,7174,06/07/2009,Court found that the decision of the Council was invalid and ordered the Council to conduct the assignment of credits anew.,,
7570,Case opened,Filing,7174,21/01/2005,"Segura, S.L., brought suit against a decision of the Council of Ministers of Spain which approved the assignment of emission credits to the company.",,
9445,Filing,Filing,7175,01/01/2010,,,
7569,Case decided,Settlement,7175,04/03/2010,Court found that rules setting standards for SO2 emissions were null and void since they weren't specifically authorized by Spain's implementing statute for the EU's Directive 2003/87/EC.,,
10483,Chamber of the European Court of Human Rights relinquished jurisdiction in favor of the Grand Chamber of the Court,Other,7176,26/04/2022,,,
8816,ECtHR accepts case,Other,7176,25/03/2021,,,
7568,Filing date at ECtHR,Filing,7176,26/11/2020,,,
9411,Filing,Filing,7177,01/01/2013,,,
7913,Decision upheld,Settlement,7177,20/12/2019,,,
7564,Formal opinion issued,Settlement,7177,13/09/2019,"The Advocate and Procurator General, independent judicial officers, issued a formal opinion recommending that the Supreme Court uphold the decision. The case is yet to be decided.",,
7563,Appeal unsuccessful,Settlement,7177,09/10/2018,"The Hague Court of Appeal upheld the District Court's ruling, concluding that by failing to reduce greenhouse gas emissions by at least 25% by end-2020, the Dutch government is acting unlawfully.",,
7562,Appeal filed,Responding party appeal,7177,08/01/2019,The Dutch government appealed the decision before the Netherlands' Supreme Court.,,
7561,Case decided,Settlement,7177,24/06/2015,The court in the Hague ordered the Dutch state to limit GHG emissions to 25% below 1990 levels by 2020.,,
8780,Settled,Settlement,7178,17/06/2010,,,
7560,Case opened,Filing,7178,01/10/2009,"Environment-People-Law (EPL) filed suit against the government, seeking to compel the dissemination of information on international greenhouse gas emissions trading. Case still not decided.",,
7559,Appeal filed,Responding party appeal,7179,02/02/2010,The Ministry of Environmental Protection filed an appeal.,,
7558,Claim successful,Settlement,7179,22/07/2008,The Commercial Court of Lviv Region ruled a decision in favour of EPL,,
7557,First hearing,Filing,7179,17/06/2008,Environment-People-Law (EPL) sought to compel the Ministry of Environmental Protection to develop a climate change policy for Ukraine,,
7556,Claim dismissed,Settlement,7180,01/01/2011,The claim was dismissed.,,
7555,Case opened,Filing,7180,01/01/2011,Tate & Lyle requested judicial review of their allocation of 1.0 Renewables Obligations Certificates (ROC) for the use of co-firing of biomass with combined heat power (CHP) ( they argued they shuld have recieved 1.5),,
7554,Case decided,Settlement,7181,01/01/2014,"The court determined that the given sentences were too high and reduced the sentences to 13 years, 10 years and 8 years.",,
7553,Case opened,Filing,7181,14/06/2012,The defendants were convicted for the manipulation of the EU Emissions Trade Scheme.,,
7552,Appeal dismissed,Settlement,7182,05/07/2002,"The Planning Inspector affirmed the local council's decision, concluding that the adverse visual effects in this particular case outweigh the need for renewable energy",,
7551,Case opened,Filing,7182,18/06/1999,Cumbria Wind Farms Ltd. appealed local council decision refusing planning permission for the erection of six wind turbines near a national park.,,
7550,Case decided,Settlement,7183,11/01/2012,"The Court classified EUAs as intangible property at common law. Hence, EUAs may be subject to restitutionary claims, and Armstrong was entitled to a money judgment.",,
7549,Case opened,Filing,7183,17/02/2010,Armstrong was affected by a fraudulent email which resulted in the transfer of some of its EUA to Winnington. The case is to decide which party should bare the costs of the fraud. Armstrong filed a claim on 3 alternative bases.,,
7546,Application dismissed,Settlement,7184,13/03/2009,the court held that the government had considered the impacts of the proposed development on climate change. The application was dismissed.,,
7545,Case opened,Filing,7184,01/01/2008,“Stop Stansted Expansion”ù challenged the grant of planning permission relating to the increase in capacity of Stansted Airport (decision from 08/10/2008),,
7548,Claim dismissed,Settlement,7185,25/02/2009,The court found that the government's approach to consultation was sufficient and dismissed the claim.,,
7547,Case opened,Filing,7185,24/06/2008,Claimants opposed the designation of two locations as proposed “ecotowns”ù arguing the process had insufficient consultation.,,
7544,Appeal unsuccessful,Settlement,7186,01/01/2014,The administrative court found that the proposed wind turbines would have a significantly detrimental effect on the historic landscape.,,
7543,Case opened,Filing,7186,01/01/2014,Bellis (Corp) appealed the decision of a local planning authority in Wales to deny the application to construct 3 wind turbine generators in a Historic Landscape Area.,,
7542,Case opened,Filing,7187,01/01/2007,The Inspector decided the benefits are outweighed by the unacceptable harm to the character and appearance of the distinctive local landscape.,,
7541,Appeal unsuccessful.,Settlement,7188,01/11/2013,The court found that the Minister's determination that there were impermissible flood risks at the site was fair and reasonable. Appeal dismissed.,,
7540,Case opened,Filing,7188,01/04/2013,Claimants challenged the decision by the Welsh Ministers to refuse to grant a planning permit for a mixed-use redevelopment.,,
7539,Claim unsuccessful.,Settlement,7189,13/12/2006,The Court dismissed the application.,,
7538,Case opened,Filing,7189,02/06/2006,"Cemex UK field a claim arguing that Phase II of the National Allocation Plan (NAP) seriously disadvantaged one of its plants, violating the principle of equity.",,
7537,Case decided,Settlement,7190,24/09/2014,The court held Barclays and Tricorona jointly liable for each other's breaches of confidentiality,,
7536,Case opened,Filing,7190,01/01/2013,CFP brought suit against Barclays and Tricorona for misuse of condidential information.,,
7535,Challenge unsuccessful,Settlement,7191,01/01/2012,"Planning Inspector found that the proposals would provide significant benefits, permit was upheld.",,
7534,Case opened,Filing,7191,01/01/2012,"Local residents challenged two proposals for the construction of wind turbines, arguing that the harms outweighed the economic or environmental benefits.",,
7533,Case decided,Settlement,7192,06/12/1994,The Planning Inspector concluded the harm that the proposal would cause to the surrounding landscape outwighed the beenfits.,,
7532,Case opened,Filing,7192,29/11/1993,A construction company appealed a local council failure to determine within the prescribed period an application for the erection of 3 wind turbine generators.,,
7531,Case decided,Settlement,7193,01/01/2012,The Inspector found that these benefits clearly outweighed the possible harms.,,
7530,Case opened,Filing,7193,01/01/2012,Local residents challenged two proposals for the construction of wind turbines.,,
9432,Filing,Filing,7194,01/01/1994,,,
7529,Appeal unsuccessful,Settlement,7194,06/12/1994,"The Planning Inspector concluded that the proposal would unacceptably harm the surrounding landscapes, dismissed the appeal.",,
7528,Case decided,Settlement,7195,11/05/2012,The Court ordered TGS to pay damages to DB.,,
7527,Case opened,Filing,7195,15/03/2010,Deutsche Bank (DB) sued Total Global Steel (TGS) for breach of contract for the sale of Certified Emissions Reductions (CERs).,,
7519,Dismissed,Settlement,7196,01/01/2012,The claim was dismissed.,,
7518,Case opened,Filing,7196,01/01/2012,Local residents challenged the decision of a Planning Inspector to grant permission for the development of a wind farm.,,
7526,Case decided,Settlement,7197,01/01/2002,"The court found for the Claimant, the permit was granted.",,
7525,Case opened,Filing,7197,01/01/2002,Claimant appealed the denial of planning permit for a residential development where a similar proposed development was approved for the same property by the previous landowner.,,
9433,Filing,Filing,7198,01/01/2009,,,
7524,Case decided,Settlement,7198,03/11/2009,The Employment Appeal Tribunal dismissed the appeal,,
7523,Case decided,Settlement,7199,15/02/2007,"The Court ruled that the process was flawed, but didn't quash the order, it granted declaratory relief.",,
7522,Case opened,Filing,7199,01/07/2006,Greenpeace challenged the decision to develop new nuclear plants in the UK arguing the consultation process for the project was flawed.,,
7521,Successful,Settlement,7200,15/11/2012,The court agreed with the petitioners and quashed the Secretary's decision.,,
7520,Case opened,Filing,7200,01/01/2012,Hertfordshire County Council challenged the decision of the Secretary to grant permission for urban expansion (decision from 1/02/2012),,
7517,Case opened,Filing,7201,06/08/2007,A UK court granted injunctive relief to control a probable campaign of direct action and civil disobedience by environmental activists in the immediate vicinity of Heathrow airport.,,
7516,Case decided,Settlement,7202,22/02/2013,The Court ruled the Commissioner failed to properly consider the benefits of the wind farm and granted the permit.,,
7515,Appeal filed,Filing,7202,14/02/2008,The applicants sought judicial review of a Planning Commissioner's refusal to their permit request before the Planning Appeals Commission.,,
7514,Permit denied,Other,7202,17/08/2007,"The Quinn brothers requested a permit to develop a renewable energy wind-farm in their lands in Northern Ireland, the request was denied.",,
7513,Appeal successful,Settlement,7203,19/12/2012,The court upheld the appeal and quashed the Inspector's decision.,,
7512,Case opened,Filing,7203,01/01/2012,Community members challenged an Inspector's decision to overturn the refusal of an application to erect a wind turbine (decision from 19/03/2012).,,
7511,Case opened,Filing,7204,01/01/2008,Court acquitted climate change activists of causing criminal damage at a coal-fired power station.,,
7510,Permission granted,Settlement,7205,01/01/2015,The Inspector granted the permission.,,
7509,Case opened,Filing,7205,01/01/2015,KS SPV35 Ltd. appealed the Monmouthshire County Council's rejection of its application to install a solar farm.,,
7508,Case decided,Settlement,7206,20/06/2014,The court overruled the Secretary's decision,,
7507,Case opened,Filing,7206,01/06/2013,Lark Energy Ltd. challenged the decision of the Secretary for State Communities (Secretary) to dismiss its appeal against the refusal for the installation of a solar farm.,,
7506,Case decided,Settlement,7207,11/01/2006,Appeal dismissed,,
7505,Case opened,Filing,7207,15/11/2005,Laughton Wind Farm Ltd. appealed a decision by the West Lindsey Borough Council refusing planning permission for a proposal to build 10 wind turbines.,,
7504,Appeal unsuccessful,Settlement,7208,01/01/2013,The court upheld the Inspector's decision.,,
