"Id","Title","Link","Legislation type","Description","Parent","Parent Id","Geography","Geography iso","Sectors","Frameworks","Responses","Keywords","Natural hazards","Document types","Instruments","Governances","Litigation ids","Visibility status"
"10432","Climate Change Policy for the Public Works, Transport and Housing Sector 2018-2036","https://climate-laws.org/geographies/el-salvador/policies/climate-change-policy-for-the-public-works-transport-and-housing-sector-2018-2036","executive","<div>This policy emanates from the Ministry for Public Works and Transport (MOPTVDU) and aims to prevent, care for and reduce the vulnerability of the population towards adverse effects of climate change, with a particular focus on the most affected. The document details key concepts and sets the ministry's strategy to design a multi-sectoral plan within its vested powers. The document also has a mitigation component, in particular with regard to urban and transport actions.<br><br>The strategy laid out in the policy focuses on updating the legal and regulatory framework; enhance knowledge creation and sharing; and promote institutional coordination at all levels while involving citizens. The strategy also discusses financial and budgetary matters (alternative financing mechanisms, MOPTVDU budget, taxes, project management involving international actors).</div>","","","El Salvador","SLV","Urban;Transport;Public Sector;Buildings","","Adaptation;Disaster Risk Management;Mitigation","Planning","Flood","Policy"," Zoning and spatial planning|Regulation; Multi-level governance|Governance and planning; International cooperation|Governance and planning; Developing plans and strategies|Governance and planning; Public goods - early warning systems|Direct investment; Knowledge sharing and dissemination|Capacity-building; Knowledge generation|Capacity-building;  Capacity-building - general|Capacity-building","","","published"
"10426","le Comité national sur le changement climatique (CNCC) créé par l’arrêté ministériel n°18- 009 en 2018","https://climate-laws.org/geographies/comoros/policies/le-comite-national-sur-le-changement-climatique-cncc-cree-par-l-arrete-ministeriel-n-18-009-en-2018","executive","","","","Comoros","COM","","","","","","","","","","pending"
"10425","Union des Comores : politique, stratégie et plan d’action sur le changement climatique (2015)","https://climate-laws.org/geographies/comoros/policies/union-des-comores-politique-strategie-et-plan-d-action-sur-le-changement-climatique-2015","executive","","","","Comoros","COM","","","","","","","","","","pending"
"10422","National Climate Change Adaptation Strategy, 2018 operationalizes the National Climate Change Policy and was developed using a participatory approach, gaining input and recommendations from diverse stakeholder groups through national consultations. The Strategy details specific adaptation objectives and measures across eight sectors","https://climate-laws.org/geographies/saint-kitts-and-nevis/policies/national-climate-change-adaptation-strategy-2018-operationalizes-the-national-climate-change-policy-and-was-developed-using-a-participatory-approach-gaining-input-and-recommendations-from-diverse-stakeholder-groups-through-national-consultations-the-strategy-details-specific-adaptation-objectives-and-measures-across-eight-sectors","executive","","","","Saint Kitts and Nevis","KNA","","","","","","","","","","pending"
"10420","National Strategy for Adaptation to Climate Change of the Republic of Tajikistan for the period up to 2030 (NSACC 2030","https://climate-laws.org/geographies/tajikistan/policies/national-strategy-for-adaptation-to-climate-change-of-the-republic-of-tajikistan-for-the-period-up-to-2030-nsacc-2030","executive","","","","Tajikistan","TJK","","","","","","","","","","pending"
"10419","""National Strategy on Climate Change and its two annexes, the National Action Plan on Mitigation (NAPM) and the National Adaptation Plan (NAP) (DCM 466, date 3.07.2019)”","https://climate-laws.org/geographies/albania/policies/national-strategy-on-climate-change-and-its-two-annexes-the-national-action-plan-on-mitigation-napm-and-the-national-adaptation-plan-nap-dcm-466-date-3-07-2019","executive","","","","Albania","ALB","","","","","","","","","","pending"
"10417","Climate Change Gender Action Plan","https://climate-laws.org/geographies/pakistan/policies/climate-change-gender-action-plan","executive","","","","Pakistan","PAK","","","","","","","","","","pending"
"8680","Law no 2018/18 regulating climate change actions","https://climate-laws.org/geographies/benin/laws/law-no-2018-18-regulating-climate-change-actions","legislative","<div>This law aims at preventing, protecting and managing the consequences of climate change over the people of Benin over the short, medium and long term. The law lays out a framework to take adaptation measures to protect the air, land, waters and other natural resources.<br>&nbsp;<br>The document further sets out a carbon tax. The modalities for this tax will be fixed by the annual finance law.</div>","","","Benin","BEN","Water;Transportation","Adaptation;Mitigation","Adaptation","Adaptation;Carbon Pricing;Redd+ And Lulucf","Floods;Cyclones;Tsunamis;Earhquakes;Storms;Hurricanes;Landslides;Desertification;Soil Erosion;Volcano Eruptions","Law","Creating bodies and institutions|Governance and planning;Taxes|Incentives;Capacity-building - general|Capacity-building","","","published"
"10411","Framework climate law no 98/2021","https://climate-laws.org/geographies/portugal/laws/framework-climate-law-no-98-2021","legislative","<div>Portugal's framework climate law sets the following objectives for the country's climate policy in article 3:&nbsp;</div><ul><li>Promote a rapid and socially balanced transition towards a sustainable economy and society that are neutral in greenhouse gases;</li><li>Guarantee climate justice, ensuring the protection of communities most vulnerable to the climate crisis, respect for human rights, equality and collective rights over the commons; c) Ensure a sustainable and irreversible trajectory of reduction of greenhouse gas emissions; greenhouse effect;</li><li>Promote the use of energy from renewable sources and their integration into the system national energy;</li><li>Promoting the circular economy, improving energy and resource efficiency;</li><li>Develop and reinforce current sinks and other carbon sequestration services; g) Strengthen national resilience and capacity to adapt to climate change;</li><li>Promoting climate security;</li><li>Stimulating education, innovation, research, knowledge and development and adopt and disseminate technologies that contribute to these ends;</li><li>Combat energy poverty, namely through the improvement of living conditions; livability and citizens' fair access to energy use;</li><li>Foster prosperity, green growth and social justice, fighting inequalities ties and generating more wealth and employment;</li><li>Protect and promote the regeneration of biodiversity, ecosystems and services;</li><li>Stimulating sustainable financing and promoting information on climate risks by economic and financial agents;</li><li>Ensuring committed, ambitious and leading participation in international negotiations and international cooperation;</li><li>Establish a rigorous and ambitious basis for the definition and fulfilment of climate objectives, targets and policies;</li><li>Reinforce the transparency, accessibility and effectiveness of information, the legal framework and information, reporting and monitoring systems;</li><li>Ensuring that all major legislative measures and public investments are strategically evaluated in relation to their contribution to fulfilling the stated assumptions, integrating the risks associated with climate change in national and sectoral planning and economic investment decisions.</li></ul><div><br>Art 2 recognises the situation of climate emergency.<br><br>Chapter II on <strong>climate rights and duties </strong>notably lists in article 8 the public and private entities concerned by climate-related actions that lie under the legal umbrella of this law. These entities are the state, public institutes, autonomous regions, local authorities, the Climate Action Council, independent administrative entities with regulatory functions for the economic activity, civil society entities including non-governmental organisations and investment groups, and citizens, private companies and other entities governed by private law. Art 9 states that citizens have the right to participate in the processes of drafting and reviewing climate policy instruments.<br><br>Chapter III focuses on <strong>climate policy governance. </strong>The Council for Climate Action (CAC) is created (art 12). The CAC collaborates with the legislative and executive branches to prepare studies, assessments and opinions on climate action and related legislation. The CAC also must issue an opinion, in an advisory capacity, on the planning, execution and effectiveness of climate policy and to contribute to the public discussion on its conduct. Article 13 details the further attributions of the CAC. Article 15 notably states that the government must actively defend, including in its foreign policy, the definition of the climate refugee concept, its status and its recognition by the Portuguese State. Article 16 on public health and environmental health stipulates that the State must promote the ""assessment of global and national risks and the preparation of action, prevention and contingency plans in the face of extreme climatic phenomena, the emergence of new diseases or the worsening of the incidence of diseases as a result of climate change"". Article 17 further charges the government to promote climate security, identify risks and prevent the adverse effects of climate change ""on public order, security and tranquility, on the integrity of people and goods and on the regular exercise of rights, freedoms and guarantees"".<br><br>Under Chapter IV on <strong>planning and evaluation tools, </strong>Portugal notably commits to achieve climate neutrality by 2050 (art 18) and charges the Assembly to approve, on a governmental proposal, national targets for the reduction of greenhouse gas emissions on a five-year basis and within a 30-year horizon (Art 19). Chapter IV also charges the government to develop/update a range of mitigation and adaptation policies and defines dedicated accountability relationships. Art 25 charges the State to prepare a national inventory of anthropogenic emissions by sources and removal by sinks of atmospheric pollutants (INERPA) ensuring public disclosure .<br><br>Chapter V on <strong>economic and financial instruments</strong> notably 1) details green fiscal principles (art 28) that include fossil-fuel curbing measures, 2) mandates the budget allocation for climate policy purposes to be consolidated in a State Budget account (art 29), 3) charges the government to create and implement a category of tax deductions — IRS Verde — under the Corporate Income Tax Code that benefits taxpayers who purchase, consume or use environmentally sustainable goods and services (art 30), 4) subjects petroleum and energy products to a carbon price to be ""determined in accordance with good international practices and with a view to achieving climate goals"", and 5) defines guiding principles on climate matters that public and private entities must adopt in their financial policies, financial management, support for capitalisation and borrowing (art 34). Public and private agents and institutions must also take the climate risk and the climate impact into account in their financing decisions (art 35).<br><br>Chapter VI defines <strong>sectoral climate policy instruments. <br><br></strong>Further clauses in this document include:&nbsp;</div><ul><li>eco-design must be mainstreamed for products, packaging, buildings and infrastructure</li><li>reduce food waste and promote healthy diets</li><li>A ban on coal use by 2021 and natural gas by 2040 to generate electricity (art 40). The natural gas ban will only be met provided the security of supply is guaranteed.</li><li>by 2030, the State will have to respect the EU taxonomy in public investment and procurement.</li></ul>","","","Portugal","PRT","Economy-wide","Adaptation;Mitigation","Adaptation;Disaster Risk Management;Mitigation","Waste;Renewables;Biodiversity;Finance;Health;Forest;Biomass;Carbon Sink;Fossil Fuels Subsidies;fossil fuels curbing measures;climate justice;Oceans;Food;food waste;Climate Emergency;Climate Finance;taxonomy;climate security","","Act"," International cooperation|Governance and planning; Subsidies|Incentives; Developing plans and strategies|Governance and planning; Creating bodies and institutions|Governance and planning; Monitoring, Reporting, Verification|Governance and planning; Provision of climate finance|Direct investment; Ecosystem restoration and nature based solutions|Direct investment;  Capacity-building - general|Capacity-building","","","published"
"10412","levelling-up strategy","https://climate-laws.org/geographies/united-kingdom/policies/levelling-up-strategy","executive","<div><strong>In scope or not?<br></strong><br>Full text https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1052060/Levelling_Up_White_Paper.pdf&nbsp;<br><br>https://www.theguardian.com/environment/2022/feb/02/green-opportunities-missed-in-uk-levelling-up-strategy-say-experts</div>","","","United Kingdom","GBR","","","","","","","","","","draft"
"10178","National Adaptation Strategy  to Climate Change","https://climate-laws.org/geographies/portugal/policies/national-adaptation-strategy-to-climate-change","executive","<div>This document sets Portugal's adaptation strategy alongside the Action Programme for Adaptation to Climate Change (P-3AC). It has been approved by Ministerial Resolution 56/2015 and its validity by Resolution 53/2020 to December 31st, 2025.</div>","","","Portugal","PRT","Economy-wide;Adaptation","","Adaptation","","","Strategy","Developing plans and strategies|Governance and planning","","","published"
"8743","Resolutions of the Council of Ministers no 56/2015 and 53/2020","https://climate-laws.org/geographies/portugal/policies/resolutions-of-the-council-of-ministers-no-56-2015-and-53-2020","executive","<div>This resolution approves the Strategic Framework for Climate Policy (QE-PiC) in Annex I, the National Program for Climate Change 2020/2030 (PNAC 2020/2030) in Annex II, and the National Strategy for Adaptation to Climate Change in Annex III. The Strategic Framework for Climate Policy sets out the vision and objectives of national climate policy to 2030. It notably aims to promote the rapprochement of citizens and civil society, foster the implementation of a new generation of climate policy instruments, and articulate objectives, instruments and institutions, recognising that the mainstreaming of climate policies and the need to integrate the climate dimension into sectoral policies requires an integrated and integrated vision of policies and instruments. <br><br>Its objectives are: 1) Promoting the transition to a low carbon economy, generating more wealth and employment, contributing to green growth; 2) Ensure a sustainable path to reduce GHG emissions; 3) Strengthen resilience and national adaptation capacities; 4) ensure committed participation in international negotiations and cooperation; 5) to stimulate research, innovation and the production of knowledge; 6) Involve society in the challenges of climate change, contributing to increase individual and collective action; 7) Increase the effectiveness of information, reporting and monitoring systems; 8) Guarantee financing conditions and increase levels of investment; and 9) Ensure effective governance conditions and ensure mainstreaming of climate objectives. <br><br>The PNAC is one of the elements that constitute the QEPiC that assumed as vision the development of a competitive and low carbon economy, establishing a new paradigm of development for Portugal in a context of green growth. Its objectives are: 1) establish policy guidelines and sectoral measures based on the cost-effective emission reduction potential identified in the modelling; 2) Define sectorial targets that conspire the objectives of reducing national emissions resulting from the CCV and foreseen in the QEPiC; and 3) Identifies a set of policy options and sectoral measures with a cost-effective potential, to be developed within the framework of the work of the SPM, which ensures sectoral operationalisation and accountability in its implementation. <br><br>In order to contribute to the planning and development of a resilient, competitive and low carbon society and economy, ENAAC 2020 sets the following vision: ""a country adapted to the effects of climate change, through the continuous implementation of solutions based on the technical knowledge and best practices."" It aims to 1) improve the level of knowledge on climate change; 2) implement adaptation measures; and 3) promote the integration of adaptation into sectoral policies. ENAAC 2020 replaces the National Strategy for Adaptation to Climate Change set out in <a href=""https://poseur.portugal2020.pt/Content/docs/Poseur/ENAAC.pdf"">Resolution 24/2010</a>.</div>","","","Portugal","PRT","Transportation;Economy-wide","Adaptation;Mitigation","Adaptation","Adaptation;Institutions / Administrative Arrangements;Research And Development","Floods;Droughts;Wildfires;Heat Waves And Heat Stress","Resolution","Designing processes|Governance and planning;Monitoring and evaluation|Governance and planning;Taxes|Incentives;Zoning and spatial planning|Regulation;Knowledge generation|Capacity-building;Research and development|Capacity-building","","","published"
"10398","Serbian Law on Climate Change","https://climate-laws.org/geographies/serbia/laws/serbian-law-on-climate-change","legislative","<div>This document constitutes Serbia's framework climate law and provides the following:</div><ul><li>defines the rules to organise the system limiting GHG emissions in a cost-effective manner</li><li>defines the rules to organise adaptation policies,</li><li>mandates the adoption of a low-carbon development strategy, an action plan for the implementation of the strategy, a monitoring and reporting system, a program of adaptation (art 6) and an ""Adjustment Program"" (art 14).</li><li>establishes&nbsp; the National Council for Climate Change as an advisory body to the Government.</li><li>establishes a National GHG Inventory System (art 57) and defines its functioning (title V)</li><li>establishes a system for reporting on GHG policies and measures and projections (title VII)</li></ul><div><br>Title III of the law further details mitigation policies to be implemented, namely 1) the implementation of the Clean Development Mechanism (art 18),&nbsp; and 2) making data on fuel consumption and CO2 emissions of new passenger vehicles available (art 19 to 24).<br><br>Title IV details the monitoring, reporting and verification rules that are implemented with regard to industrial plants (art 25 to 32 and 37 onward) and aviation (art 33 onward). The provisions related to the aviation sector shall apply from January 1st, 2023 (art 77). &nbsp;Article 56 stipulates that the Ministry shall make reports on gas emissions available to the public in accordance with the regulation governing access to information of public importance. Title XI sets further provisions the obligations to display information to consumers set in art 20 to 23.&nbsp;<br><br>Title VI on GHG emissions projections states that the Ministry shall prepare projections of anthropogenic GHG emissions from sources and their removal as a basis for determining and assessing the possibility of limiting GHG emissions, adopting policies and measures for economically viable limiting GHG emissions, and monitoring the achievement of GHG emission limits.<br><br>Title VIII sets the taxation rules applying to operators seeking emission permits.&nbsp;<br><br>Title IX attributes overseeing responsibilities to specific ministries and directorates.&nbsp;<br><br>Title X details economic penalties for infringing on the newly-established permitting regulations.<br><br></div><div>The law transposse Directive 2003/87/EC establishing a system for greenhouse gas emission allowance trading (EU-ETS); Decision 406/2009/EC-Effort of Member States to reduce their greenhouse gas emissions; Regulation 525/2013/EC on a mechanism for monitoring and reporting greenhouse gas emissions ; Directive 1999/94/EC relating to the availability of consumer information on fuel economy and CO2 emissions in respect of the marketing of new passenger cars.</div>","","","Serbia","SRB","Economy-wide","Adaptation;Mitigation","Adaptation;Mitigation","Industry;Transport;Aviation;carbon sink","","Act"," Taxes|Incentives; Provision of climate finance|Direct investment; Ecosystem restoration and nature based solutions|Direct investment; Monitoring, Reporting, Verification|Governance and planning; Creating bodies and institutions|Governance and planning;  Capacity-building - general|Capacity-building","","","published"
