"id","parent_id","name","description","source_id"
"4885","null","Transportation","Imported by CPR loader","1"
"4886","null","Energy","Imported by CPR loader","1"
"4887","null","Waste","Imported by CPR loader","1"
"4888","null","Economy-wide","Imported by CPR loader","1"
"4889","null","Energy","Imported by CPR loader","1"
"4890","null","Transportation","Imported by CPR loader","1"
"4891","null","Waste","Imported by CPR loader","1"
"4892","null","Energy","Imported by CPR loader","1"
"4893","null","Industry","Imported by CPR loader","1"
"4894","null","Residential and Commercial","Imported by CPR loader","1"
"4895","null","Economy-wide","Imported by CPR loader","1"
"4896","null","Transport","Imported by CPR loader","1"
"4897","null","Energy","Imported by CPR loader","1"
"4898","null","Industry","Imported by CPR loader","1"
"4899","null","Residential and Commercial","Imported by CPR loader","1"
"4900","null","Transportation","Imported by CPR loader","1"
"4901","null","Waste","Imported by CPR loader","1"
"4902","null","Industry","Imported by CPR loader","1"
"4904","null","Transportation","Imported by CPR loader","1"
"4903","null","Residential and Commercial","Imported by CPR loader","1"
"4910","null","Economy-wide","Imported by CPR loader","1"
"4911","null","Energy","Imported by CPR loader","1"
"4912","null","Residential and Commercial","Imported by CPR loader","1"
"4913","null","Transportation","Imported by CPR loader","1"
"4914","null","Waste","Imported by CPR loader","1"
"4924","null","Energy","Imported by CPR loader","1"
"4925","null","Transportation","Imported by CPR loader","1"
"4931","null","Energy","Imported by CPR loader","1"
"4932","null","Transportation","Imported by CPR loader","1"
"4939","null","Energy","Imported by CPR loader","1"
"4952","null","Energy","Imported by CPR loader","1"
"4953","null","Residential and Commercial","Imported by CPR loader","1"
"4958","null","Energy","Imported by CPR loader","1"
"4959","null","Industry","Imported by CPR loader","1"
"4960","null","Residential and Commercial","Imported by CPR loader","1"
"4961","null","Transportation","Imported by CPR loader","1"
"4975","null","Energy","Imported by CPR loader","1"
"4980","null","Economy-wide","Imported by CPR loader","1"
"4981","null","Energy","Imported by CPR loader","1"
"4982","null","Residential and Commercial","Imported by CPR loader","1"
"4983","null","Waste","Imported by CPR loader","1"
"4989","null","Agriculture","Imported by CPR loader","1"
"4990","null","Energy","Imported by CPR loader","1"
"4991","null","LULUCF","Imported by CPR loader","1"
"4999","null","Energy","Imported by CPR loader","1"
"5000","null","Transportation","Imported by CPR loader","1"
"5012","null","Economy-wide","Imported by CPR loader","1"
"5018","null","Energy","Imported by CPR loader","1"
"5019","null","Health","Imported by CPR loader","1"
"5020","null","Residential and Commercial","Imported by CPR loader","1"
"5021","null","Urban","Imported by CPR loader","1"
"5022","null","Water","Imported by CPR loader","1"
"4905","null","Energy","Imported by CPR loader","1"
"4906","null","Transportation","Imported by CPR loader","1"
"4919","null","Agriculture","Imported by CPR loader","1"
"4920","null","Industry","Imported by CPR loader","1"
"4921","null","LULUCF","Imported by CPR loader","1"
"4929","null","Agriculture","Imported by CPR loader","1"
"4930","null","LULUCF","Imported by CPR loader","1"
"4935","null","Economy-wide","Imported by CPR loader","1"
"4946","null","Health","Imported by CPR loader","1"
"4947","null","Water","Imported by CPR loader","1"
"4957","null","Disaster Risk Management (Drm)","Imported by CPR loader","1"
"4965","null","Environment","Imported by CPR loader","1"
"4966","null","LULUCF","Imported by CPR loader","1"
"4967","null","Residential and Commercial","Imported by CPR loader","1"
"4968","null","Tourism","Imported by CPR loader","1"
"4969","null","Transportation","Imported by CPR loader","1"
"4970","null","Urban","Imported by CPR loader","1"
"4971","null","Water","Imported by CPR loader","1"
"4979","null","Energy","Imported by CPR loader","1"
"4988","null","Energy","Imported by CPR loader","1"
"4997","null","Energy","Imported by CPR loader","1"
"5007","null","Agriculture","Imported by CPR loader","1"
"5008","null","Energy","Imported by CPR loader","1"
"5009","null","Transportation","Imported by CPR loader","1"
"5010","null","Waste","Imported by CPR loader","1"
"5011","null","Water","Imported by CPR loader","1"
"5013","null","Energy","Imported by CPR loader","1"
"5014","null","Residential and Commercial","Imported by CPR loader","1"
"5015","null","Tourism","Imported by CPR loader","1"
"5016","null","Water","Imported by CPR loader","1"
"5024","null","Energy","Imported by CPR loader","1"
"5025","null","Industry","Imported by CPR loader","1"
"5026","null","Transportation","Imported by CPR loader","1"
"4907","null","Energy","Imported by CPR loader","1"
"4908","null","Industry","Imported by CPR loader","1"
"4909","null","Residential and Commercial","Imported by CPR loader","1"
"4922","null","Environment","Imported by CPR loader","1"
"4923","null","Water","Imported by CPR loader","1"
"4936","null","Agriculture","Imported by CPR loader","1"
"4937","null","LULUCF","Imported by CPR loader","1"
"4938","null","Waste","Imported by CPR loader","1"
"4948","null","Energy","Imported by CPR loader","1"
"4949","null","Transportation","Imported by CPR loader","1"
"4950","null","Waste","Imported by CPR loader","1"
"4951","null","Water","Imported by CPR loader","1"
"4972","null","Energy","Imported by CPR loader","1"
"4973","null","LULUCF","Imported by CPR loader","1"
"4974","null","Transportation","Imported by CPR loader","1"
"4998","null","Energy","Imported by CPR loader","1"
"5017","null","Energy","Imported by CPR loader","1"
"5027","null","Energy","Imported by CPR loader","1"
"5028","null","LULUCF","Imported by CPR loader","1"
"4915","null","Disaster Risk Management (Drm)","Imported by CPR loader","1"
"4926","null","Industry","Imported by CPR loader","1"
"4927","null","LULUCF","Imported by CPR loader","1"
"4933","null","Energy","Imported by CPR loader","1"
"4940","null","Energy","Imported by CPR loader","1"
"4941","null","Industry","Imported by CPR loader","1"
"4942","null","Residential and Commercial","Imported by CPR loader","1"
"4943","null","Rural","Imported by CPR loader","1"
"4944","null","Transportation","Imported by CPR loader","1"
"4962","null","Energy","Imported by CPR loader","1"
"4963","null","LULUCF","Imported by CPR loader","1"
"4964","null","Transportation","Imported by CPR loader","1"
"4976","null","Energy","Imported by CPR loader","1"
"4984","null","Energy","Imported by CPR loader","1"
"4985","null","Transportation","Imported by CPR loader","1"
"5001","null","Environment","Imported by CPR loader","1"
"5002","null","LULUCF","Imported by CPR loader","1"
"5003","null","Water","Imported by CPR loader","1"
"4916","null","Energy","Imported by CPR loader","1"
"4917","null","Transportation","Imported by CPR loader","1"
"4918","null","Waste","Imported by CPR loader","1"
"4928","null","Energy","Imported by CPR loader","1"
"4934","null","Energy","Imported by CPR loader","1"
"4945","null","Energy","Imported by CPR loader","1"
"4954","null","Agriculture","Imported by CPR loader","1"
"4955","null","Energy","Imported by CPR loader","1"
"4956","null","Waste","Imported by CPR loader","1"
"4977","null","Energy","Imported by CPR loader","1"
"4978","null","Transportation","Imported by CPR loader","1"
"4986","null","LULUCF","Imported by CPR loader","1"
"4987","null","Transportation","Imported by CPR loader","1"
"4992","null","Energy","Imported by CPR loader","1"
"4993","null","Industry","Imported by CPR loader","1"
"4994","null","Residential and Commercial","Imported by CPR loader","1"
"4995","null","Rural","Imported by CPR loader","1"
"4996","null","Transportation","Imported by CPR loader","1"
"5004","null","Environment","Imported by CPR loader","1"
"5005","null","Industry","Imported by CPR loader","1"
"5006","null","LULUCF","Imported by CPR loader","1"
"5023","null","Economy-wide","Imported by CPR loader","1"
"5029","null","Economy-wide","Imported by CPR loader","1"
"5030","null","Industry","Imported by CPR loader","1"
"5031","null","LULUCF","Imported by CPR loader","1"
"5032","null","Transportation","Imported by CPR loader","1"
"5033","null","Agriculture","Imported by CPR loader","1"
"5034","null","Energy","Imported by CPR loader","1"
"5035","null","Environment","Imported by CPR loader","1"
"5036","null","Health","Imported by CPR loader","1"
"5037","null","Industry","Imported by CPR loader","1"
"5038","null","LULUCF","Imported by CPR loader","1"
"5039","null","Urban","Imported by CPR loader","1"
"5040","null","Waste","Imported by CPR loader","1"
"5041","null","Water","Imported by CPR loader","1"
"5042","null","Energy","Imported by CPR loader","1"
"5043","null","Agriculture","Imported by CPR loader","1"
"5044","null","Energy","Imported by CPR loader","1"
"5045","null","Industry","Imported by CPR loader","1"
"5046","null","Transportation","Imported by CPR loader","1"
"5047","null","Economy-wide","Imported by CPR loader","1"
"5048","null","Residential and Commercial","Imported by CPR loader","1"
"5049","null","Transportation","Imported by CPR loader","1"
"5050","null","Energy","Imported by CPR loader","1"
"5051","null","Economy-wide","Imported by CPR loader","1"
"5052","null","Energy","Imported by CPR loader","1"
"5053","null","Transportation","Imported by CPR loader","1"
"5054","null","Health","Imported by CPR loader","1"
"5055","null","Transportation","Imported by CPR loader","1"
"5056","null","Energy","Imported by CPR loader","1"
"5057","null","Agriculture","Imported by CPR loader","1"
"5058","null","Energy","Imported by CPR loader","1"
"5059","null","Residential and Commercial","Imported by CPR loader","1"
"5060","null","Transportation","Imported by CPR loader","1"
"5061","null","Waste","Imported by CPR loader","1"
"5062","null","Energy","Imported by CPR loader","1"
"5063","null","Transportation","Imported by CPR loader","1"
"5064","null","Energy","Imported by CPR loader","1"
"5065","null","Environment","Imported by CPR loader","1"
"5066","null","Transportation","Imported by CPR loader","1"
"5067","null","Water","Imported by CPR loader","1"
"5068","null","Transportation","Imported by CPR loader","1"
"5069","null","Energy","Imported by CPR loader","1"
"5070","null","Residential and Commercial","Imported by CPR loader","1"
"5071","null","Transportation","Imported by CPR loader","1"
"5072","null","Energy","Imported by CPR loader","1"
"5073","null","Energy","Imported by CPR loader","1"
"5074","null","Residential and Commercial","Imported by CPR loader","1"
"5075","null","Transportation","Imported by CPR loader","1"
"5076","null","Economy-wide","Imported by CPR loader","1"
"5077","null","Transportation","Imported by CPR loader","1"
"5078","null","Energy","Imported by CPR loader","1"
"5079","null","Energy","Imported by CPR loader","1"
"5080","null","Energy","Imported by CPR loader","1"
"5081","null","Energy","Imported by CPR loader","1"
"5082","null","Industry","Imported by CPR loader","1"
"5083","null","Transportation","Imported by CPR loader","1"
"5084","null","Social development","Imported by CPR loader","1"
"5085","null","Industry","Imported by CPR loader","1"
"5086","null","Energy","Imported by CPR loader","1"
"5087","null","Residential and Commercial","Imported by CPR loader","1"
"5088","null","Transportation","Imported by CPR loader","1"
"5089","null","Waste","Imported by CPR loader","1"
"5090","null","Economy-wide","Imported by CPR loader","1"
"5091","null","Energy","Imported by CPR loader","1"
"5092","null","Transportation","Imported by CPR loader","1"
"5093","null","Waste","Imported by CPR loader","1"
"5094","null","Economy-wide","Imported by CPR loader","1"
"5095","null","Energy","Imported by CPR loader","1"
"5096","null","Residential and Commercial","Imported by CPR loader","1"
"5097","null","Transportation","Imported by CPR loader","1"
"5098","null","Agriculture","Imported by CPR loader","1"
"5099","null","Energy","Imported by CPR loader","1"
"5100","null","Energy","Imported by CPR loader","1"
"5101","null","Residential and Commercial","Imported by CPR loader","1"
"5102","null","Residential and Commercial","Imported by CPR loader","1"
"5103","null","Agriculture","Imported by CPR loader","1"
"5104","null","Coastal zones","Imported by CPR loader","1"
"5105","null","Energy","Imported by CPR loader","1"
"5106","null","Environment","Imported by CPR loader","1"
"5107","null","Health","Imported by CPR loader","1"
"5108","null","LULUCF","Imported by CPR loader","1"
"5109","null","Residential and Commercial","Imported by CPR loader","1"
"5110","null","Transportation","Imported by CPR loader","1"
"5111","null","Water","Imported by CPR loader","1"
"5112","null","LULUCF","Imported by CPR loader","1"
"5113","null","Economy-wide","Imported by CPR loader","1"
"5114","null","Energy","Imported by CPR loader","1"
"5115","null","Economy-wide","Imported by CPR loader","1"
"5116","null","Energy","Imported by CPR loader","1"
"5117","null","Residential and Commercial","Imported by CPR loader","1"
"5118","null","Transportation","Imported by CPR loader","1"
"5119","null","Water","Imported by CPR loader","1"
"5132","null","Energy","Imported by CPR loader","1"
"5133","null","LULUCF","Imported by CPR loader","1"
"5134","null","Transportation","Imported by CPR loader","1"
"5146","null","Energy","Imported by CPR loader","1"
"5147","null","Industry","Imported by CPR loader","1"
"5148","null","Residential and Commercial","Imported by CPR loader","1"
"5156","null","Social development","Imported by CPR loader","1"
"5168","null","Agriculture","Imported by CPR loader","1"
"5169","null","Coastal zones","Imported by CPR loader","1"
"5170","null","Health","Imported by CPR loader","1"
"5171","null","LULUCF","Imported by CPR loader","1"
"5172","null","Residential and Commercial","Imported by CPR loader","1"
"5173","null","Transportation","Imported by CPR loader","1"
"5174","null","Water","Imported by CPR loader","1"
"5179","null","Economy-wide","Imported by CPR loader","1"
"5181","null","Agriculture","Imported by CPR loader","1"
"5182","null","Economy-wide","Imported by CPR loader","1"
"5189","null","Energy","Imported by CPR loader","1"
"5190","null","Social development","Imported by CPR loader","1"
"5198","null","Energy","Imported by CPR loader","1"
"5208","null","Industry","Imported by CPR loader","1"
"5209","null","LULUCF","Imported by CPR loader","1"
"5215","null","Energy","Imported by CPR loader","1"
"5216","null","Industry","Imported by CPR loader","1"
"5217","null","Transportation","Imported by CPR loader","1"
"5224","null","Residential and Commercial","Imported by CPR loader","1"
"5236","null","Agriculture","Imported by CPR loader","1"
"5237","null","Energy","Imported by CPR loader","1"
"5238","null","Transportation","Imported by CPR loader","1"
"5239","null","Waste","Imported by CPR loader","1"
"5244","null","Energy","Imported by CPR loader","1"
"5245","null","Industry","Imported by CPR loader","1"
"5246","null","Residential and Commercial","Imported by CPR loader","1"
"5247","null","Transportation","Imported by CPR loader","1"
"5253","null","Energy","Imported by CPR loader","1"
"5260","null","Agriculture","Imported by CPR loader","1"
"5265","null","Energy","Imported by CPR loader","1"
"5266","null","Transport","Imported by CPR loader","1"
"5271","null","Adaptation","Imported by CPR loader","1"
"5272","null","Health","Imported by CPR loader","1"
"5277","null","Disaster Risk Management (Drm)","Imported by CPR loader","1"
"5283","null","Industry","Imported by CPR loader","1"
"5289","null","Transport","Imported by CPR loader","1"
"5290","null","Urban","Imported by CPR loader","1"
"5301","null","Economy-wide","Imported by CPR loader","1"
"5302","null","Public Sector","Imported by CPR loader","1"
"5309","null","Economy-wide","Imported by CPR loader","1"
"5310","null","Finance","Imported by CPR loader","1"
"5311","null","Public Sector","Imported by CPR loader","1"
"5317","null","Water","Imported by CPR loader","1"
"5325","null","Environment","Imported by CPR loader","1"
"5326","null","LULUCF","Imported by CPR loader","1"
"5120","null","Agriculture","Imported by CPR loader","1"
"5121","null","Energy","Imported by CPR loader","1"
"5122","null","Health","Imported by CPR loader","1"
"5123","null","Industry","Imported by CPR loader","1"
"5124","null","LULUCF","Imported by CPR loader","1"
"5125","null","Residential and Commercial","Imported by CPR loader","1"
"5126","null","Transportation","Imported by CPR loader","1"
"5127","null","Urban","Imported by CPR loader","1"
"5128","null","Waste","Imported by CPR loader","1"
"5129","null","Water","Imported by CPR loader","1"
"5135","null","Energy","Imported by CPR loader","1"
"5136","null","Environment","Imported by CPR loader","1"
"5137","null","Water","Imported by CPR loader","1"
"5157","null","Energy","Imported by CPR loader","1"
"5158","null","Industry","Imported by CPR loader","1"
"5159","null","Residential and Commercial","Imported by CPR loader","1"
"5175","null","Energy","Imported by CPR loader","1"
"5176","null","Residential and Commercial","Imported by CPR loader","1"
"5183","null","Economy-wide","Imported by CPR loader","1"
"5191","null","Economy-wide","Imported by CPR loader","1"
"5199","null","Energy","Imported by CPR loader","1"
"5200","null","Industry","Imported by CPR loader","1"
"5218","null","Energy","Imported by CPR loader","1"
"5219","null","Social development","Imported by CPR loader","1"
"5220","null","Transportation","Imported by CPR loader","1"
"5225","null","Energy","Imported by CPR loader","1"
"5226","null","Residential and Commercial","Imported by CPR loader","1"
"5227","null","Transportation","Imported by CPR loader","1"
"5240","null","Energy","Imported by CPR loader","1"
"5248","null","Transportation","Imported by CPR loader","1"
"5254","null","Economy-wide","Imported by CPR loader","1"
"5261","null","Economy-wide","Imported by CPR loader","1"
"5267","null","Economy-wide","Imported by CPR loader","1"
"5273","null","Other","Imported by CPR loader","1"
"5278","null","Energy","Imported by CPR loader","1"
"5284","null","Water","Imported by CPR loader","1"
"5291","null","Energy","Imported by CPR loader","1"
"5303","null","Disaster Risk Management (Drm)","Imported by CPR loader","1"
"5312","null","Adaptation","Imported by CPR loader","1"
"5313","null","Economy-wide","Imported by CPR loader","1"
"5327","null","Energy","Imported by CPR loader","1"
"5328","null","Social development","Imported by CPR loader","1"
"5329","null","Transportation","Imported by CPR loader","1"
"5130","null","Energy","Imported by CPR loader","1"
"5131","null","Water","Imported by CPR loader","1"
"5144","null","LULUCF","Imported by CPR loader","1"
"5145","null","Transportation","Imported by CPR loader","1"
"5154","null","Energy","Imported by CPR loader","1"
"5155","null","Water","Imported by CPR loader","1"
"5162","null","Agriculture","Imported by CPR loader","1"
"5163","null","Coastal zones","Imported by CPR loader","1"
"5164","null","LULUCF","Imported by CPR loader","1"
"5165","null","Transportation","Imported by CPR loader","1"
"5166","null","Waste","Imported by CPR loader","1"
"5167","null","Water","Imported by CPR loader","1"
"5178","null","Transportation","Imported by CPR loader","1"
"5187","null","Energy","Imported by CPR loader","1"
"5188","null","Transportation","Imported by CPR loader","1"
"5197","null","Energy","Imported by CPR loader","1"
"5206","null","Economy-wide","Imported by CPR loader","1"
"5207","null","Transportation","Imported by CPR loader","1"
"5212","null","Economy-wide","Imported by CPR loader","1"
"5213","null","Health","Imported by CPR loader","1"
"5214","null","LULUCF","Imported by CPR loader","1"
"5413","null","Energy","Imported by CPR loader","1"
"5223","null","Environment","Imported by CPR loader","1"
"5233","null","Energy","Imported by CPR loader","1"
"5234","null","Health","Imported by CPR loader","1"
"5235","null","Transportation","Imported by CPR loader","1"
"5243","null","LULUCF","Imported by CPR loader","1"
"5252","null","Energy","Imported by CPR loader","1"
"5258","null","Energy","Imported by CPR loader","1"
"5259","null","LULUCF","Imported by CPR loader","1"
"5264","null","Finance","Imported by CPR loader","1"
"5270","null","Agriculture","Imported by CPR loader","1"
"5276","null","LULUCF","Imported by CPR loader","1"
"5282","null","LULUCF","Imported by CPR loader","1"
"5288","null","LULUCF","Imported by CPR loader","1"
"5299","null","Coastal zones","Imported by CPR loader","1"
"5300","null","Social development","Imported by CPR loader","1"
"5308","null","Social development","Imported by CPR loader","1"
"5316","null","Transport","Imported by CPR loader","1"
"5322","null","LULUCF","Imported by CPR loader","1"
"5323","null","Transportation","Imported by CPR loader","1"
"5324","null","Water","Imported by CPR loader","1"
"5138","null","Energy","Imported by CPR loader","1"
"5149","null","Energy","Imported by CPR loader","1"
"5150","null","Industry","Imported by CPR loader","1"
"5160","null","Energy","Imported by CPR loader","1"
"5180","null","LULUCF","Imported by CPR loader","1"
"5184","null","Economy-wide","Imported by CPR loader","1"
"5192","null","Energy","Imported by CPR loader","1"
"5193","null","Industry","Imported by CPR loader","1"
"5201","null","Energy","Imported by CPR loader","1"
"5210","null","Economy-wide","Imported by CPR loader","1"
"5221","null","LULUCF","Imported by CPR loader","1"
"5222","null","Transportation","Imported by CPR loader","1"
"5228","null","Energy","Imported by CPR loader","1"
"5229","null","LULUCF","Imported by CPR loader","1"
"5230","null","Transportation","Imported by CPR loader","1"
"5241","null","Transportation","Imported by CPR loader","1"
"5249","null","Economy-wide","Imported by CPR loader","1"
"5255","null","LULUCF","Imported by CPR loader","1"
"5262","null","LULUCF","Imported by CPR loader","1"
"5268","null","Energy","Imported by CPR loader","1"
"5274","null","Public Sector","Imported by CPR loader","1"
"5279","null","Adaptation","Imported by CPR loader","1"
"5280","null","Health","Imported by CPR loader","1"
"5285","null","Energy","Imported by CPR loader","1"
"5286","null","LULUCF","Imported by CPR loader","1"
"5292","null","Disaster Risk Management (Drm)","Imported by CPR loader","1"
"5304","null","Economy-wide","Imported by CPR loader","1"
"5314","null","Economy-wide","Imported by CPR loader","1"
"5318","null","Energy","Imported by CPR loader","1"
"5330","null","Agriculture","Imported by CPR loader","1"
"5331","null","Energy","Imported by CPR loader","1"
"5332","null","Industry","Imported by CPR loader","1"
"5333","null","Residential and Commercial","Imported by CPR loader","1"
"5139","null","Economy-wide","Imported by CPR loader","1"
"5140","null","Energy","Imported by CPR loader","1"
"5141","null","Residential and Commercial","Imported by CPR loader","1"
"5142","null","Transportation","Imported by CPR loader","1"
"5143","null","Waste","Imported by CPR loader","1"
"5151","null","Economy-wide","Imported by CPR loader","1"
"5152","null","Environment","Imported by CPR loader","1"
"5153","null","LULUCF","Imported by CPR loader","1"
"5161","null","LULUCF","Imported by CPR loader","1"
"5177","null","Economy-wide","Imported by CPR loader","1"
"5185","null","Economy-wide","Imported by CPR loader","1"
"5186","null","Health","Imported by CPR loader","1"
"5194","null","Agriculture","Imported by CPR loader","1"
"5195","null","Environment","Imported by CPR loader","1"
"5196","null","LULUCF","Imported by CPR loader","1"
"5202","null","Economy-wide","Imported by CPR loader","1"
"5203","null","Energy","Imported by CPR loader","1"
"5204","null","Residential and Commercial","Imported by CPR loader","1"
"5205","null","Water","Imported by CPR loader","1"
"5211","null","Energy","Imported by CPR loader","1"
"5231","null","Industry","Imported by CPR loader","1"
"5232","null","Transportation","Imported by CPR loader","1"
"5242","null","Energy","Imported by CPR loader","1"
"5250","null","Energy","Imported by CPR loader","1"
"5251","null","Transportation","Imported by CPR loader","1"
"5256","null","Energy","Imported by CPR loader","1"
"5257","null","Transportation","Imported by CPR loader","1"
"5263","null","Transport","Imported by CPR loader","1"
"5269","null","Transport","Imported by CPR loader","1"
"5275","null","Economy-wide","Imported by CPR loader","1"
"5281","null","Cross Cutting Area","Imported by CPR loader","1"
"5287","null","Transport","Imported by CPR loader","1"
"5293","null","Adaptation","Imported by CPR loader","1"
"5294","null","Coastal zones","Imported by CPR loader","1"
"5295","null","Disaster Risk Management (Drm)","Imported by CPR loader","1"
"5296","null","Economy-wide","Imported by CPR loader","1"
"5297","null","Energy","Imported by CPR loader","1"
"5298","null","Environment","Imported by CPR loader","1"
"5305","null","Coastal zones","Imported by CPR loader","1"
"5306","null","Environment","Imported by CPR loader","1"
"5307","null","LULUCF","Imported by CPR loader","1"
"5315","null","Public Sector","Imported by CPR loader","1"
"5319","null","Economy-wide","Imported by CPR loader","1"
"5320","null","Energy","Imported by CPR loader","1"
"5321","null","Transportation","Imported by CPR loader","1"
"5334","null","Energy","Imported by CPR loader","1"
"5335","null","Industry","Imported by CPR loader","1"
"5336","null","Transportation","Imported by CPR loader","1"
"5337","null","LULUCF","Imported by CPR loader","1"
"5338","null","Urban","Imported by CPR loader","1"
"5339","null","Energy","Imported by CPR loader","1"
"5340","null","Industry","Imported by CPR loader","1"
"5341","null","Economy-wide","Imported by CPR loader","1"
"5342","null","Transportation","Imported by CPR loader","1"
"5343","null","Energy","Imported by CPR loader","1"
"5344","null","Health","Imported by CPR loader","1"
"5345","null","Water","Imported by CPR loader","1"
"5346","null","Energy","Imported by CPR loader","1"
"5347","null","Residential and Commercial","Imported by CPR loader","1"
"5348","null","Transportation","Imported by CPR loader","1"
"5349","null","Economy-wide","Imported by CPR loader","1"
"5350","null","Energy","Imported by CPR loader","1"
"5351","null","Transportation","Imported by CPR loader","1"
"5352","null","Energy","Imported by CPR loader","1"
"5353","null","Transportation","Imported by CPR loader","1"
"5354","null","Energy","Imported by CPR loader","1"
"5355","null","Residential and Commercial","Imported by CPR loader","1"
"5356","null","Transportation","Imported by CPR loader","1"
"5357","null","Energy","Imported by CPR loader","1"
"5358","null","Industry","Imported by CPR loader","1"
"5359","null","Transportation","Imported by CPR loader","1"
"5360","null","Energy","Imported by CPR loader","1"
"5361","null","Transportation","Imported by CPR loader","1"
"5362","null","Economy-wide","Imported by CPR loader","1"
"5363","null","Energy","Imported by CPR loader","1"
"5364","null","Transportation","Imported by CPR loader","1"
"5365","null","Waste","Imported by CPR loader","1"
"5366","null","Economy-wide","Imported by CPR loader","1"
"5367","null","Energy","Imported by CPR loader","1"
"5368","null","Health","Imported by CPR loader","1"
