Case ID,Case name,Year of filing,Current status,Assessment of outcome,Geography,Country ISO,Core objective,UNFCCC pillars,Summary,Case filed before,Name of court/body,Citation/reference number,Filed by,Filed against,Intervenor,Classified as strategic case,Climate alignment classification,Strategic case type classification,Case grounds classification,Sector,Connected internal laws,Connected external laws,Keywords,Data source,Connected cases,Type of connection,To align with Sabin?
7011,Australian Competition & Consumer Commission v. Goodyear Tyres (2008),2008,Closed,Enhanced climate action,Australia,AUS,Challenge to corporation for false green advertising ,Mitigation," The Australian Competition and Consumer Commission (ACCC) challenged Goodyear Tyres for falsely labeling its LS200 tyres as “environmentally-friendly” because its production process emitted less carbon dioxide and its new BioTRED technology increased the life of the tyre and improved fuel economy.  ACCC charged that Goodyear Tyres was misleading consumers about the environmental benefits of its tyres, breaching sections 52 and 53(c) of the Trade Practices Act 1974.  Goodyear Tyres gave a court-enforceable undertaking that it would halt its false advertising and partially compensate all customers who had relied on it during 2007 and 2008.
",,Federal Court of Australia,N/A,1850,1851,N/A,No,,N/A,,Other,,Trade Practices Act 1974|,,CCLW;Sabin,,,
7012,"Australian Competition & Consumer Commission v. Prime Carbon Pty. Ltd. (Federal Court of Australia, 2010)",2010,Closed,Enhanced climate action,Australia,AUS,Suit against corporation for false green advertising ,Mitigation," The Australian Competition and Consumer Commission challenged Prime Carbon Pty Ltd, a company that sells carbon credits, for falsely claiming that it was certified by the National Stock Exchange of Australia and that the National Environment Registry, a company through which Prime Carbon supplied some of its credits, was regulated by the Australian Government.  The Federal Court ruled that Prime Carbon had misrepresented its services and affiliations, violating section 53 of the Trade Practices Act 1974.  Prime Carbon was ordered to publicize the court’s orders to its customers and Kenneth Bellamy, the sole director of the company, was ordered to undergo compliance training.
",,Federal Court of Australia,N/A,1846,1847,N/A,No,,N/A,,Other,,Trade Practices Act 1974|,,CCLW;Sabin,,,
7013,Australian Competition & Consumer Commission v. V8 Supercars Australia Pty. Ltd. (2008),2008,Closed,Enhanced climate action,Australia,AUS,Challenge to corporation for false green advertising ,Mitigation," The Australian Competition and Consumer Commission (ACCC) challenged V8 Supercars Australia Pty Ltd for being misleading in its Racing Green Program’s claim that it was offsetting carbon emissions from its V8 Championship Emissions by planting 10,000 native trees.  The ACCC contended that the claim was ambiguous because it failed to state over what time span the carbon emissions would be supposedly nullified.  V8 Supercars acknowledged the ACCC’s concerns and agreed to a court enforceable undertaking that it would ensure compliance with the Trade Practices Act 1974 in any of its future “green marketing” schemes.
",,Federal Court of Australia,N/A,1848,1849,N/A,No,,N/A,,Other,,Trade Practices Act 1974|,,CCLW;Sabin,,,
7014,"Bernhard Seifert v. Colac-Otway Shire Council (Victoria Civil and Administrative Court, 2009)",2009,Closed,Enhanced climate action,Australia,AUS,Proposed amendment to a building permit,Adaptation & Resilience,An Australia state court approved a permit for the subdivision on land subject to condition that the owner demonstrate how the development will deal with and minimize flood risks  to the satisfaction of the Responsible Authority prior commencing development. The approval was based on two expert reports pertaining to effects of sea level rise due to climate change.,,Civil and Administrative Tribunal of Victoria,[2009] VCAT 1453,1844,1845,N/A,No,,N/A,,Buildings,,,,CCLW;Sabin,,,
7015,"Blue Wedges Inc. v. Minister for Environment, Heritage & the Arts (Federal Court of Australia, 2008)",2008,Closed,Hindered climate action,Australia,AUS,"Challenge to approval given by Minister for Environment, Heritage and the Arts to deepen shipping channels on grounds that procedure had not been followed as outlined by EPBC Act ",Adaptation & Resilience," Blue Wedges Inc challenged the decision made by the Minister for Environment, Heritage and the Arts to approve the Port of Melbourne Corporation’s proposal to deepen the shipping channels in Port Phillip Bay and the Yarra River.  Blue Wedges objected to the Minister’s process of approval on three grounds: (1) the Minister had not taken into account the principles of ecologically sustainable development while considering the proposal, as required by section 136(2)(a) of the Environment Protection and Biodiversity Conservation (EPBC) Act; (2) the Minister had not adequately informed and consulted all other relevant ministers, including the Minister for Climate Change and Water, who could have a concern with the effect which the channel deepening project might have on sea levels and tidal level changes in the Bay, as required by section 131(1) of the EPBC Act; and (3) the Minister had failed to fully consider the impacts on listed threatened and migratory species as outlined by section 136(1)(a) of the EPBC Act.  After thorough review of the claims made by the applicant, the court held that all considerations brought up by the applicant had been adequately met by the Minister in his review prior to issuing the approval for the proposal.
",,Federal Court of Australia,[2008] FCR 399,1842,1843,N/A,Yes,,N/A,,Disaster Risk Management (Drm);Environment,,,,CCLW;Sabin,,,
7016,"Bock v. Moyne SC (Victoria Civil and Administrative Tribunal,  2010)",2010,Closed,Enhanced climate action,Australia,AUS,Approval of permit application without a coastal hazard vulnerability assessment (CHVA),Adaptation & Resilience,Applicant sought approval of a planning permit and challenged the local council’s request for a coastal hazard vulnerability assessment (CHVA) considering the impact of increased inundation or changing sea level conditions due to climate change prior to permit approval.  The Australia state court found that the council must give the applicant opportunity to demonstrate why a CHVA was not required for the specific review site and take this information into account prior to the Council determining whether a CHVA is required.,,Civil and Administrative Tribunal of Victoria,[2010] VCAT 1905,1840,1841,N/A,No,,N/A,,Coastal zones,,,,CCLW;Sabin,,,
7017,"Bulga Milbrodale Progress Association Inc. v. Minister for Planning & Infrastructure and Warkworth Mining Ltd. (New South Wales Land and Environment Court, 2013)",2013,Closed,Enhanced climate action,Australia,AUS,To challenge the approval of the extension and continued operation of coal mine due to impacts on biodiversity.,Mitigation,"Plaintiffs appealed the approval of a mining project that would expand a coal mine into areas previously designated as “non-disturbance areas” and extend the mining permit for ten years. The court overturned the approval due to significant adverse impacts including reduced biodiversity.  In assessing biodiversity concerns, the court considered vulnerability to climate change.",,Land and Environment Court of New South Wales,[2013] NSWLEC 48,1918,1839;1838,N/A,Yes,,N/A,,Energy,,,,CCLW;Sabin,,,
7018,"Byron Shire Council v. Vaughan; Vaughan v. Byron Shire Council (Land and Environment Court of New South Wales, 2009)",2009,Closed - settled,Neutral,Australia,AUS,Application for injunction to prevent the building of a coastal wall,Adaptation & Resilience," After strong storms and increased coastal erosion, John and Anne Vaughan attempted to rebuild an interim sandbag wall that was previously approved by the city council in a 2001 development consent.  The council sought an injunction from the court preventing the wall from being rebuilt, arguing that the council had a policy of planned retreat and that rebuilding the wall could cause damage to other properties, especially if it was built without the approval of the council. The Vaughan’s responded by bringing an action against the council, alleging breach by the council of the 2001 development consent.  The court upheld the council’s request and issued an injunction preventing the wall from being rebuilt. The two parties later came to a settlement before the final hearing allowing the Vaughan’s to rebuild the wall using geobags and sand as opposed to rocks, which they had initially planned to use.
",,Victorian Civil and Administrative Tribunal,[2009] NSWLEC 110,1834,1835,N/A,No,,N/A,,Coastal zones,,,,CCLW;Sabin,,,
7020,"Campbell & Others v. Mornington Peninsula Shire Council (Victoria Civil and Administrative Tribunal, 2010)",2010,Closed,Hindered climate action,Australia,AUS,Challenge of approval of construction permit,Adaptation & Resilience,"Applicants challenged a redevelopment proposal because of failure to conduct a coastal hazard vulnerability assessment, among other concerns. While affirming the importance of taking a cautious approach to coastal vulnerability issues, an Australian state court found, based on expert testimony, that the proposal did not present any unreasonable coastal vulnerability issues. The court affirmed the local council’s approval of the permit subject to certain conditions, including drainage requirements.",,Civil and Administrative Tribunal of Victoria,[2010] VCAT 1457,1836,1837,N/A,No,,N/A,,Residential and Commercial,,,,CCLW;Sabin,,,
7021,"Carey v. Murrindindi Shire Council (Victorian Civil and Administrative Tribunal, 2011)",2011,Closed,Enhanced climate action,Australia,AUS,Consideration of application for a permit to build a community hall in an area with a high risk of bushfire,Adaptation & Resilience,"At issue in this case was a proposal to build a community hall in an area that was badly burnt by bushfires in February 2009. Citizens objected to the proposal and appealed the Council’s decision to grant a permit for the building due to the fire risks associated with the proposal. The Victorian Civil and Administrative Tribunal relied upon the strong community need for the community hall but nevertheless recognized that a prudent approach was needed and that climate change predictions suggested that Victoria would experience more extreme fires in the future. Accordingly, the Tribunal dealt with the risk of loss of life with respect to bushfire risks by imposing conditions on the permit ensuring that the loss of life risks were reduced to a manageable level. For instance, the Tribunal stated that the community hall could not be occupied until an Emergency Management Plan had been prepared by the permit holder.",,State Administrative Tribunal of Western Australia ,[2011] VCAT 76 ,1832,1833,N/A,No,,N/A,,Buildings,,,,CCLW;Sabin,,,
7022,"Clean Energy Regulator v. MT Solar Pty. Ltd. (Federal Court of Australia, 2013)",2013,Closed,Enhanced climate action,Australia,AUS,To impose penalties for providing false information to the government regarding the installation of solar panels and claiming of Renewable Energy Certificates,Mitigation,"This case concerned the penalties to be imposed on an unlicensed electrician, the company which employed him to install solar panels and other related parties.  As the electrician did not have the appropriate accreditation to install the solar panels, the company was not entitled to claim Renewable Energy Certificates (RECs) under the Renewable Energy (Electricity) Act 2000 (Cth).  The federal authority in charge of administering the issuance of RECs, the Clean Energy Regulator, sought civil penalties against the respondents for contravening the Act by providing false information as to the qualifications of the electrician. In discussing the factual background to the case, Justice Foster noted that a state government feed-in tariff offered for renewable energy projects had created significant market pressure for projects to be delivered quickly (the tariff was only available through 2016), and that there had been a shortage of qualified electricians to meet the demand.",,Federal Court of Australia,[2013] FCA 205,1829,1831;1830,N/A,No,,N/A,,Energy,2029,,,CCLW;Sabin,,,
7023,"Copley v. Logan City Council & Anor (Queensland Planning and Environment Court, 2012)",2012,Closed,Hindered climate action,Australia,AUS,Challenged of approval of a development application ,Adaptation & Resilience,Copley challenged Logan City Council’s approval of a development application in an Australian state court asserting that the proposed homes violated the Local Government (Planning and Environment) Act of 1990 because they were impermissibly susceptible to flooding due to the impacts of climate change. The applicants motioned to strike the challenge. The judge denied the motion and permitted a substantive hearing on the issue.,,Land Court of Queensland,[2012] QPEC 39,1827,1828,N/A,No,,N/A,,Residential and Commercial,,,,CCLW;Sabin,,,
7024,"David Kettle Consulting v. Gosford City Council (New South Wales Land and Environment Court, 2008)",2008,Closed,Hindered climate action,Australia,AUS,Challenge of permit conditions for water extraction,Adaptation & Resilience,"Coca-Cola Amatil (Aust) appealed the conditions placed on a permit for water extraction at a water bottling plant, which restricted the rate of extraction and total extraction levels. The court granted the permit without the conditions through 2011. Taking into account the impacts of climate change on rainfall, the court suggested that the extraction rates and levels should be reevaluated in 2011 using more timely data.",,Land and Environment Court of New South Wales,[2008] NSWLEC 1385 ,1825,1826,N/A,No,,N/A,,Adaptation;Water,,,,CCLW;Sabin,,,
7025,"Director of Public Prosecutions v. Fraser and O'Donnell (Supreme Court of New South Wales, Common Law Division, 2008)",2008,Closed,Enhanced climate action,Australia,AUS,Criminal suit against protestors for causing damage to property,Mitigation," On 24 September 2007, two environmental activists associated with Greenpeace trespassed into a coal loader owned by Port Waratah Coal Services and halted the operation of the conveyor belt for almost two hours at a cost of approximately $27,000.  Police arrested and charged the activists for “maliciously damaging property” under section 195 (1) of the Crimes Act 1900.  The prosecutor and counsel for the defendants questioned the meaning of “damages” as it appeared in section 195 and whether the defendants’ actions applied.  The magistrate ruled that there were two sorts of damages (physical and monetary) and that the defendants could only be charged for monetary damage, which would constitute a civil crime, not a criminal one.  He proceeded to dismiss the charge. 
",,"Supreme Court of New South Wales, Common Law Division",[2008] NSWSC 244,1821,1822,N/A,No,,N/A,,Energy;Other,,Crimes Act 1900|,,CCLW;Sabin,,,
7026,"Drake-Brockman v. Minister for Planning (Land and Environment Court of New South Wales, 2007)",2007,Closed,Hindered climate action,Australia,AUS,Challenge to state agency decision approving a concept plan for a mixed-use development project,Mitigation,"An Australian state court upheld a state agency decision to approve a concept plan for a mixed-use development project. Applicant challenged the agency decision on three grounds, including the agency's failure to consider ecologically sustainable development (ESD) principles in approving the concept plan under the Envrionmental Planning and Assessment Act 1979. The court held that the agency had considered ESD principles and greenhouse gas emissions when approving the project. A quantitative assessment of GHG emissions was not necessary in this particular case and is not required for every major project.",,Land and Environment Court of New South Wales,[2007] NSWLEC 490,1823,1824,N/A,No,,N/A,,Residential and Commercial,,,,CCLW;Sabin,,,
7027,"Dual Gas Pty. Ltd. & Others v. Environment Protection Authority (Victoria Civil and Administrative Tribunal, 2012)",2012,Closed,Enhanced climate action,Australia,AUS,Proposal for power generation facility,Mitigation,"The EPA issued a works approval to Dual Gas for a 300 MWe power station for the development of a project involving new power generation technology from coal and natural gas. Four objectors challenged the approval in an Australia state court, including Environment Victoria, which asserted that the project would be inconsistent with Victoria’s State Environment Protection Policy (SEPP). Dual Gas challenged the objectors standing, sought review of conditions on the works approval requiring a specific level of operation efficiency, SO2 capture, and noise attenuation, and sought to reinstate the originally proposed generating capacity of 600 MWe. The court found that three of the four objectors had standing because they had interests that would be affected by the project. However, the court rejected their challenges finding that the project was consistent with ‘best practices’ requirements and the general goals of the SEPP. The court granted Dual Gas’s application and raised the capacity to 600 Mwe, but refused to remove the conditions.",,Civil and Administrative Tribunal of Victoria,[2012] VCAT 308,1819,1820,N/A,No,,N/A,,Energy,,Climate Change Act 2011|;Environment Protection Act 1970|;State Environment Protection Policy|,,CCLW;Sabin,,,
7028,"Edmond Golf Pty. Ltd. v. Frankston City Council (Victorian Civil and Administrative Tribunal, 2010)",2010,Closed,Hindered climate action,Australia,AUS,Seeks approval of building permit,Adaptation & Resilience,"Applicant challenged the denial of a planning permit application to construct an apartment building in an Australian state court. The County’s planning scheme requires plans to take into account sea level rise and other coastal hazards associated with climate change. The court found that no assessment was necessary because the flood risks were low. Based on this and other non-climate issues, the court granted the permit subject to conditions including stormwater drainage requirements.",,Land Court of Queensland,[2010] VCAT 1183,1817,1818,N/A,No,,N/A,,Buildings;Residential and Commercial,,,,CCLW;Sabin,,,
7029,"Environment Victoria Inc. v. Department of Primary Industries (Victorian Civil and Administrative Tribunal, January 15, 2013)",2013,Closed,Enhanced climate action,Australia,AUS,Application for access to information relating to coal licenses and a feed-in tariff scheme,Mitigation,"The applicant, an NGO, submitted a request  to the respondent under the Freedom of Information Act 1982 (Cth) (FOIA) for documents relating to: the possible allocation of new licenses to mine brown coal in the Latrobe Valley; reductions to the premium solar feed-in tariff paid to consumers who contribute electricity to the power grid from solar panels; and changes to the planning controls over wind farms. The Department failed to respond to the request within 45 days (as required by the Act). After proceedings were commenced, some documents were produced and issues in dispute were eventually narrowed to four particular documents.  Three of these documents related to allocation of licenses to mine coal, and the fourth related to the premium feed-in tariff scheme.  In withholding these documents, the Department relied on an exception to FOIA which protects cabinet documents (for the three coal related documents), and an exception which protects internal working documents (in relation to all four documents). The Tribunal held that, with the exception of an introductory portion of one document, that the three coal license related documents were protected by the exception for internal working documents, as they had been prepared in order to brief the Minister on issues “of the utmost importance to Victorians.”  The high level nature of the briefing documents, and the sensitivity of the issues involved, were considerations that weighed against their release under FOIA.  The document relating to the premium feed-in tariff scheme was held not to be protected by any of the exceptions.",,Civil and Administrative Tribunal of Victoria,[2013] VCAT 39,1815,1816,N/A,Yes,,N/A,,Energy,,Freedom of Information Act 1982|,,CCLW;Sabin,,,
7030,"Gippsland Coastal Board v. South Gippsland Shire Council (Victorian Civil and Administrative Tribunal, 2008)",2008,Closed,Enhanced climate action,Australia,AUS,Challenge to local council grant of residential development consent,Adaptation & Resilience," An Australian tribunal overturned a local council decision granting consent for residential developments in a coastal region.  A regional coastal board, set up under the Victorian Coastal Management Act 1995, challenged the council decision, arguing that the proposed developments were inappropriate in light of projected sea level rises as a result of climate change.  The tribunal applied the precautionary principle, finding that sea level rise and more extreme weather conditions resulting from climate change presented a reasonably foreseeable risk of inundation of the site, and determined that development consent should not be granted.
",,Civil and Administrative Tribunal of Victoria,[2008] VCAT 1545,1917,1814,N/A,No,,N/A,,Residential and Commercial,,,,CCLW;Sabin,,,
7031,"Gray v. Minister for Planning (Land and Environment Court of New South Wales, 2006)",2006,Closed,Enhanced climate action,Australia,AUS,Challenge to the adequacy of an environmental impact statement prepared for a large coal mine,Mitigation," An Australian federal court rejected an environmental impact assessment (EIA) prepared as part of a development approval process for a large open-cut coal mine at Anvil Hill.  Coal from the proposed mine is destined for use in coal-fired power stations in Australia and overseas.  The proponents of the project failed to consider the potential greenhouse gas (GHG) emissions from the burning of coal by third parties.  The court held that for projects with the potential to directly or indirectly contribute to GHG emissions, the climate change impacts of the proposal should be properly considered and assessed under the Environmental Planning and Assessment Act 1979.  It is not sufficient to simply raise the climate change issue in the EIA; the proponent of the project must attempt precise quantifications. 
",,Land and Environment Court of New South Wales,[2006] NSWLEC 720,1812,1813,N/A,No,,N/A,,Energy,,,,CCLW;Sabin,,,
7032,"Greenpeace Australia Ltd v. Redbank Power Co. (Land and Environment Court of New South Wales, 1994)",1994,Closed,Hindered climate action,Australia,AUS,Challenge to state council decision granting development consent for a power station,Mitigation," An Australian state court upheld a state council decision granting development consent for the construction of a power station.  Greenpeace asserted that air emissions from the power station would exacerbate the greenhouse effect.  Applying the precautionary principle, Greenpeace argued that the court should refuse development consent for the project.  The court held that although application of the precautionary principle dictates a cautious approach in determining whether or not development consent should be granted, the principle does not require that the greenhouse gas issue outweigh all other issues. 
",,Land and Environment Court of New South Wales,[1994] 86 LGERA 143,1808,1809,N/A,Yes,,N/A,,Energy,,,,CCLW;Sabin,,,
7033,"Ground Crew at Turramurra v. Ku-ring-gai Council (New South Wales Land and Environment Court, 2008)",2008,Closed,Enhanced climate action,Australia,AUS,Appeal of denial of a planning permit due to risk of fire,Adaptation & Resilience,"Applicant appealed the denial of a permit for a residential development due to risk of fire. In denying the permit, the local council cited climate change as one of the five issues contributing to the risk of fire. In dismissing the appeal, the court reported that it did not weigh increased risks of fire due to climate change heavily.",,Land and Environment Court of New South Wales,[2008] NSWLEC 86,1810,1811,N/A,No,,N/A,,Disaster Risk Management (Drm),,,,CCLW;Sabin,,,
7034,"Haughton v. Minister for Department of Planning & Others (Land and Environment Court of New South Wales, 2011)",2011,Closed,Hindered climate action,Australia,AUS,Challenge to government approval of two coal-fired power plants,Mitigation,"Ned Haughton challenged the approval granted by the Minister for Planning for two coal-fired power plants.  The challenge was on the grounds that: (1) the Minister erroneously approved the plants on the basis that they were critical infrastructure projects; (2) the Minister had not fully considered the principles of ecologically sustainable development; and (3) the Minister had not considered the impact of the projects on climate change, which was required of him based on his duty to protect the public interest.  While the Court upheld the standing of Mr. Haughton to bring the case, it dismissed his substantive claims on the basis that the decisions had been made within the power given to the Minister under Part 3A of the Environmental Planning and Assessment  Act 1979 (NSW).  Justice Craig emphasized that he could not review the merits of the Minister’s decision, and could only consider its legality.  He concluded that the statute allowed the Minister to weigh competing considerations as he saw fit when determining what was in the public interest.",,Land and Environment Court of New South Wales,[2011] NSWLEC 217,1806,1807,N/A,No,,N/A,,Energy,,,,CCLW;Sabin,,,
