name,desired_keyword
Fossil Fuels Curbing Measures,Fossil Fuels Curbing Measures
Fossil Fuels Subsidies,Fossil Fuels Subsidies
Freight,Freight
Fuels,Fuels
Gas,Gas
Gender,Gender
Geothermal,Geothermal
Germany,Germany
Ghg,GHG
Glaciers,Glaciers
Governance,Governance
Green Bonds,Green Bonds
Green New Deal,Green New Deal
Greenwashing,Greenwashing
Health,Health
Healthy Environment,Healthy Environment
Heat,Heat
Hf Cs,Hydrofluorocarbons
housing,Housing
Housing,Housing
Human rights,Human Rights
Human Rights,Human Rights
Hydro,Hydro
Hydrofluorocarbons,Hydrofluorocarbons
Hydrogen,Hydrogen
Indigenous People,Indigenous People
Industry,Industry
Infrastructure,Infrastructure
Innovation,Innovation
Institutions / Administrative Arrangements,Institutions / Administrative Arrangements
Insurance,Insurance
Intergenerational,Intergenerational
Investment,Investment
Jobs,Jobs
Joe Biden,Joe Biden
Just Transition,Just Transition
K Ets,K-ETS
Keystone,Keystone
Land Use,Land Use
Licensing,Licensing
Limits On Fossil Fuels,Limits On Fossil Fuels
Livestock,Livestock
Lulucf,LULUCF
Mangroves,Mangroves
Maritime Planning,Maritime Planning
Meat,Meat
Meteorology,Meteorology
Methane,Methane
Migration,Migration
Mining,Mining
Mitigation,Mitigation
Modal Shift,Modal Shift
Moratorium,Moratorium
Mountain,Mountain
Mrv,MRV
Multi Modal Transport,Multi-Modal Transport
Nap,NAP
National Energy And Climate Plans,National Energy And Climate Plans
National Security,National Security
Natural Resources,Natural Resources
Net Zero,Net Zero
Nitrous Oxide,Nitrous Oxide
No Adequate Category,No Adequate Category
Nuclear,Nuclear
Nuclear Fusion,Nuclear Fusion
Oceans,Oceans
Off Grid,Off Grid
Offshore,Offshore
Oil,Oil
Oil And Gas,Oil And Gas
Ozone,Ozone
Paris Agreement,Paris Agreement
Peat,Peat
Permit,Permit
Physical Activity,Physical Activity
Planning,Planning
Power Plant,Power Plant
Procurement,Procurement
Public Private,Public Private
Public Transport,Public Transport
Pv,PV
Rail,Rail
Redd+ And Lulucf,REDD+ And LULUCF
Reforestation,Reforestation
Reinsurance,Reinsurance
Renewables,Renewables
Research And Development,Research And Development
Rivers,Rivers
Road,Road
Sd Gs,SDGs
Shipping,Shipping
Skills,Skills
Slc Ps,SLCPs
Social Justice,Social Justice
Soil Erosion,Soil Erosion
S Olar,Solar
Solar Panels,Solar Panels
Space,Space
Spatial Planning,Spatial Planning
Stimulus Plan,Stimulus Plan
Subsidies,Subsidies
Tax,Tax
Taxes,Tax
Tax Incentives,Tax Incentives
taxonomy,Taxonomy
TCFD,TCFD
Technology,Technology
Tourism,Tourism
Trading Scheme,Trading Scheme
Train,Train
Transport,Transport
Transportation,Transport
travel,Travel
Trees,Trees
Truck,Truck
Unfccc,UNFCCC
Walking,Walking
Waste,Waste
Water,Water
Water Management,Water Management
wetlands,Wetlands
Wetlands,Wetlands
Wind,Wind
Youth,Youth
